kernel,coreF,memF,real,predict
backprop,700,500,8306.090842,8464.466463
backprop,1000,700,7756.272504,8009.022545
backprop,600,400,9126.534285,9341.415824
backprop,900,600,8366.794525,8548.337067
backprop,800,500,9255.114155,9485.584995
backprop,1000,600,9261.845734,9452.359655
backprop,700,400,10421.462918,10672.625351
backprop,900,500,10417.521653,10579.573283
backprop,800,400,11879.387881,12180.477229
backprop,1000,500,11546.506133,11715.530504
backprop,900,400,13322.260732,13626.354022
backprop,1000,400,14765.058000,15064.315226
conjugateGradient,400,1000,2618.057293,2555.585070
conjugateGradient,400,900,2768.724307,2814.336880
conjugateGradient,400,800,2936.973307,3130.379763
conjugateGradient,500,1000,2919.875927,3069.790772
conjugateGradient,500,900,3147.902581,3359.591055
conjugateGradient,400,700,3238.461778,3551.618830
conjugateGradient,600,1000,3278.031287,3553.646817
conjugateGradient,500,800,3434.626739,3771.890086
conjugateGradient,400,600,3660.233252,4143.199473
conjugateGradient,600,900,3581.454596,3925.988408
conjugateGradient,700,1000,3693.122901,4054.139648
conjugateGradient,500,700,3839.677725,4327.017270
conjugateGradient,600,800,3965.943048,4403.897932
conjugateGradient,700,900,4051.118626,4488.607544
conjugateGradient,400,500,4627.367292,4973.251593
conjugateGradient,800,1000,4130.777602,4554.540667
conjugateGradient,500,600,4452.463638,4999.075762
conjugateGradient,600,700,4505.735555,5064.257093
conjugateGradient,700,800,4526.954934,5046.793302
conjugateGradient,800,900,4551.884080,5051.753706
conjugateGradient,900,1000,4557.057694,5054.316244
conjugateGradient,400,400,5847.571350,6331.110699
conjugateGradient,500,500,5722.379996,6138.343759
conjugateGradient,600,600,5338.531908,5910.780408
conjugateGradient,700,700,5185.118603,5776.935200
conjugateGradient,800,800,5129.954512,5690.908682
conjugateGradient,900,900,5072.786559,5615.592801
conjugateGradient,1000,1000,5020.271195,5557.209831
conjugateGradient,1000,900,5570.190717,6180.573004
conjugateGradient,900,800,5705.207453,6331.606352
conjugateGradient,800,700,5873.235129,6525.522773
conjugateGradient,700,600,6102.137803,6830.399577
conjugateGradient,600,500,6724.646428,7238.018933
conjugateGradient,500,400,7337.574389,7783.808780
conjugateGradient,1000,800,6307.269788,6976.357443
conjugateGradient,900,700,6571.842469,7269.239939
conjugateGradient,800,600,6922.705500,7573.879182
conjugateGradient,700,500,7830.224207,8329.614284
conjugateGradient,1000,700,7279.786158,8017.212721
conjugateGradient,600,400,8624.317050,9233.222077
conjugateGradient,900,600,7715.829487,8405.562700
conjugateGradient,800,500,8873.277984,9316.098422
conjugateGradient,1000,600,8488.387507,9277.642763
conjugateGradient,700,400,9938.491882,10549.813550
conjugateGradient,900,500,9971.480236,10407.525982
conjugateGradient,800,400,11352.955419,11962.037933
conjugateGradient,1000,500,11073.255788,11505.825131
conjugateGradient,900,400,12774.713042,13382.511815
conjugateGradient,1000,400,14179.745289,14802.723963
convolutionSeparable,400,1000,17375.798080,17440.890624
convolutionSeparable,400,900,17520.058453,17439.974421
convolutionSeparable,400,800,17752.967680,17931.140667
convolutionSeparable,500,1000,17540.962703,17684.265260
convolutionSeparable,500,900,19188.630681,19570.959468
convolutionSeparable,400,700,20648.441487,20850.980464
convolutionSeparable,600,1000,20449.535150,20882.276733
convolutionSeparable,500,800,21839.282267,22381.333371
convolutionSeparable,400,600,24845.313963,24704.686268
convolutionSeparable,600,900,22925.850908,23396.201174
convolutionSeparable,700,1000,23856.068841,24318.132480
convolutionSeparable,500,700,25407.701453,25895.918938
convolutionSeparable,600,800,26134.857840,26573.051308
convolutionSeparable,700,900,26701.296469,27177.998152
convolutionSeparable,400,500,29907.582294,30418.976302
convolutionSeparable,800,1000,27162.351578,27647.802955
convolutionSeparable,500,600,30138.195850,30499.282859
convolutionSeparable,600,700,30719.860640,30893.605225
convolutionSeparable,700,800,30324.460950,30778.971344
convolutionSeparable,800,900,30445.497600,30920.491333
convolutionSeparable,900,1000,30483.667200,30944.954706
convolutionSeparable,400,400,38257.537593,39343.055652
convolutionSeparable,500,500,37583.841151,37868.205993
convolutionSeparable,600,600,36454.947550,36709.078058
convolutionSeparable,700,700,35247.763833,35598.840174
convolutionSeparable,800,800,34625.548222,35018.121094
