kernel,ape
BlackScholes,0.071308
SobolQRNG,0.055124
backpropForward,0.060303
conjugateGradient,0.218053
convolutionSeparable,0.134169
convolutionTexture,0.179374
fastWalshTransform,0.061294
histogram,0.170179
hotspot,0.214815
matrixMulGlobal,0.344528
matrixMulShared,0.017990
mergeSort,0.311206
nn,0.064576
quasirandomGenerator,0.517781
reduction,0.070321
scalarProd,0.048564
scanScanExclusiveShared,0.057954
sortingNetworks,0.063813
transpose,0.098230
vectorAdd,0.090806
