kernel,ape
BlackScholes,0.294506
backpropForward,0.118198
conjugateGradient,0.081816
convolutionSeparable,0.105179
fastWalshTransform,0.750767
histogram,0.067773
matrixMulGlobal,0.461963
matrixMulShared,0.060410
mergeSort,0.111053
quasirandomGenerator,0.258266
scalarProd,0.850026
scanScanExclusiveShared,0.539595
sortingNetworks,0.024675
transpose,0.363753
vectorAdd,0.488354
