kernel,ape
BlackScholes,0.024698
SobolQRNG,0.221145
backpropForward,0.017079
conjugateGradient,0.046556
convolutionSeparable,0.024215
convolutionTexture,0.133824
fastWalshTransform,0.018251
histogram,0.129481
hotspot,0.011712
matrixMulGlobal,0.010266
matrixMulShared,0.016689
mergeSort,0.161504
nn,0.121796
quasirandomGenerator,0.208759
reduction,0.131865
scalarProd,0.053234
scanScanExclusiveShared,0.021722
sortingNetworks,0.011245
transpose,0.264628
vectorAdd,0.090630
