kernel,ape
BlackScholes,0.198187
backprop,1.785677
conjugateGradient,0.518524
convolutionSeparable,0.097892
fastWalshTransform,0.128446
histogram,0.067113
matrixMul,0.388499
matrixMul(Global),7.614437
mergeSort,0.419558
quasirandomGenerator,1.368567
scalarProd,0.025378
scan,0.012018
sortingNetworks,0.012231
transpose,0.127886
vectorAdd,0.010291
