kernel,ape
BlackScholes,0.094132
backprop,0.025389
conjugateGradient,0.009780
convolutionSeparable,0.015976
fastWalshTransform,0.125270
histogram,0.126153
matrixMulGlobal,0.121124
matrixMulShared,0.065670
mergeSort,0.023493
quasirandomGenerator,0.282545
scalarProd,0.706845
scan,0.235658
sortingNetworks,0.696748
transpose,0.118360
vectorAdd,0.474271
