kernel,ape
BlackScholes,0.594858
backprop,0.129640
conjugateGradient,0.381179
convolutionSeparable,0.452348
fastWalshTransform,0.367207
histogram,0.053450
matrixMul,0.062057
matrixMul(Global),0.366921
mergeSort,0.335718
quasirandomGenerator,0.374315
scalarProd,0.899078
scan,0.723851
sortingNetworks,0.858836
transpose,0.525698
vectorAdd,0.732958
