kernel,ape
BlackScholes,0.802378
backpropForward,2.068734
conjugateGradient,0.590437
convolutionSeparable,0.049361
fastWalshTransform,0.069389
histogram,0.040955
matrixMulGlobal,2.229133
matrixMulShared,0.310028
mergeSort,1.331562
quasirandomGenerator,1.900670
scalarProd,0.040957
scanScanExclusiveShared,0.061744
sortingNetworks,0.467835
transpose,0.389940
vectorAdd,0.053684
