kernel,coreF,memF,real,predict,error
conjugateGradient,800,900,4551.884080,6353.227053,0.395736
conjugateGradient,900,1000,4557.057694,6354.234294,0.394372
conjugateGradient,400,400,5847.571350,8143.153760,0.392570
conjugateGradient,500,500,5722.379996,7787.857511,0.360947
conjugateGradient,600,600,5338.531908,7549.875705,0.414223
conjugateGradient,700,700,5185.118603,7359.309638,0.419314
conjugateGradient,800,800,5129.954512,7237.499295,0.410831
conjugateGradient,900,900,5072.786559,7129.957864,0.405531
conjugateGradient,1000,1000,5020.271195,7044.623056,0.403236
conjugateGradient,1000,900,5570.190717,7905.671397,0.419282
conjugateGradient,900,800,5705.207453,8119.558775,0.423184
conjugateGradient,800,700,5873.235129,8391.883567,0.428835
conjugateGradient,700,600,6102.137803,8816.410242,0.444807
conjugateGradient,600,500,6724.646428,9319.932586,0.385936
conjugateGradient,500,400,7337.574389,10108.422016,0.377624
conjugateGradient,1000,800,6307.269788,9008.431211,0.428262
conjugateGradient,900,700,6571.842469,9420.326815,0.433438
conjugateGradient,800,600,6922.705500,9962.599994,0.439119
conjugateGradient,700,500,7830.224207,10862.668683,0.387274
conjugateGradient,1000,700,7279.786158,10449.975015,0.435478
conjugateGradient,600,400,8624.317050,12120.573590,0.405395
conjugateGradient,900,600,7715.829487,11189.638562,0.450218
conjugateGradient,800,500,8873.277984,12256.072636,0.381234
conjugateGradient,1000,600,8488.387507,12419.416368,0.463107
conjugateGradient,700,400,9938.491882,13972.246286,0.405872
conjugateGradient,900,500,9971.480236,13761.032547,0.380039
conjugateGradient,800,400,11352.955419,15928.541046,0.403030
conjugateGradient,1000,500,11073.255788,15275.531441,0.379498
conjugateGradient,900,400,12774.713042,17892.211784,0.400596
conjugateGradient,1000,400,14179.745289,19851.199159,0.399969
convolutionSeparable,400,1000,17375.798080,15865.661452,0.086910
convolutionSeparable,400,900,17520.058453,17778.410168,0.014746
convolutionSeparable,400,800,17752.967680,19121.733206,0.077101
convolutionSeparable,500,1000,17540.962703,18847.765146,0.074500
convolutionSeparable,500,900,19188.630681,20953.481730,0.091974
convolutionSeparable,400,700,20648.441487,22293.971690,0.079693
convolutionSeparable,600,1000,20449.535150,22418.087548,0.096264
convolutionSeparable,500,800,21839.282267,24114.791894,0.104193
convolutionSeparable,400,600,24845.313963,26819.551823,0.079461
convolutionSeparable,600,900,22925.850908,25225.011427,0.100287
convolutionSeparable,700,1000,23856.068841,26240.107158,0.099934
convolutionSeparable,500,700,25407.701453,28032.945136,0.103325
convolutionSeparable,600,800,26134.857840,28773.310144,0.100955
convolutionSeparable,700,900,26701.296469,29438.189187,0.102500
convolutionSeparable,400,500,29907.582294,32814.266397,0.097189
convolutionSeparable,800,1000,27162.351578,29953.034814,0.102741
convolutionSeparable,500,600,30138.195850,33180.029186,0.100930
convolutionSeparable,600,700,30719.860640,33638.563638,0.095010
convolutionSeparable,700,800,30324.460950,33456.859504,0.103296
convolutionSeparable,800,900,30445.497600,33607.121294,0.103845
convolutionSeparable,900,1000,30483.667200,33640.920893,0.103572
convolutionSeparable,400,400,38257.537593,43147.076364,0.127806
convolutionSeparable,500,500,37583.841151,41532.467129,0.105062
convolutionSeparable,600,600,36454.947550,39942.046836,0.095655
convolutionSeparable,700,700,35247.763833,38846.125231,0.102088
convolutionSeparable,800,800,34625.548222,38199.115574,0.103206
convolutionSeparable,900,900,34147.181143,37697.305394,0.103965
convolutionSeparable,1000,1000,33752.881900,37280.780497,0.104521
convolutionSeparable,1000,900,37904.826750,41856.974247,0.104265
