kernel,ape
BlackScholes,0.030269
SobolQRNG,0.076910
backprop,0.021940
conjugateGradient,0.087418
convolutionSeparable,0.010967
convolutionTexture,0.121431
fastWalshTransform,0.022885
histogram,0.040858
hotspot,0.351027
matrixMul,0.036792
matrixMul(Global),0.064154
mergeSort,0.062992
nn,0.189256
quasirandomGenerator,0.059904
reduction,0.172811
scalarProd,0.023666
scan,0.018449
sortingNetworks,0.013051
transpose,0.080230
vectorAdd,0.050310
