kernel,coreF,memF,real,predict,error
histogram,1800,5500,4052251.640640,4448026.514285,0.097668
histogram,1700,5000,4197079.206780,4447707.056828,0.059715
histogram,1900,5500,4070818.469076,4449652.317565,0.093061
histogram,1600,4500,4127242.888533,4447859.342584,0.077683
histogram,1800,5000,4162737.134080,4451091.051506,0.069270
histogram,2000,5500,4074920.542933,4450979.497486,0.092286
histogram,1700,4500,4205856.026711,4449679.166269,0.057972
histogram,1900,5000,4110384.522981,4450272.815360,0.082690
histogram,1600,4000,4139464.758812,4448577.269018,0.074675
histogram,1800,4500,4221900.451104,4452742.351493,0.054677
histogram,2000,5000,4085970.559502,4453571.136851,0.089967
histogram,1900,4500,4216608.930588,4454787.118791,0.056486
histogram,1700,4000,4234534.265323,4453746.750407,0.051768
histogram,2000,4500,4145759.363200,4457635.831593,0.075228
histogram,1800,4000,4294793.932800,4455060.058631,0.037316
histogram,1900,4000,4346896.682041,4455838.444832,0.025062
histogram,2000,4000,4345806.218880,4455736.550038,0.025296
matrixMulGlobal,1600,5500,793695.663950,422030.612062,0.468271
matrixMulGlobal,1700,5500,797649.862603,425845.878482,0.466124
matrixMulGlobal,1600,5000,801022.047000,431560.531581,0.461238
matrixMulGlobal,1800,5500,812420.466638,434479.126955,0.465204
matrixMulGlobal,1700,5000,823497.257510,442661.747811,0.462461
matrixMulGlobal,1900,5500,836711.132275,441544.077808,0.472286
matrixMulGlobal,1600,4500,812825.057406,442340.474205,0.455799
matrixMulGlobal,1800,5000,848865.520986,455958.068129,0.462862
matrixMulGlobal,2000,5500,869617.993781,456342.027871,0.475239
matrixMulGlobal,1700,4500,842775.716357,454941.058822,0.460187
matrixMulGlobal,1900,5000,887699.063754,471634.439823,0.468700
matrixMulGlobal,1600,4000,870636.695906,476076.799776,0.453185
matrixMulGlobal,1800,4500,870239.089125,471500.644323,0.458194
matrixMulGlobal,2000,5000,895744.435469,474265.725037,0.470535
matrixMulGlobal,1900,4500,910230.860299,482546.642432,0.469863
matrixMulGlobal,1700,4000,888494.429320,484990.844709,0.454143
matrixMulGlobal,2000,4500,898619.085000,483907.095006,0.461499
matrixMulGlobal,1800,4000,890557.665170,489072.219862,0.450825
matrixMulGlobal,1900,4000,892529.330479,490714.996253,0.450197
matrixMulGlobal,2000,4000,904639.627336,495334.749655,0.452451
matrixMulShared,1600,5500,238479.013850,227403.533767,0.046442
matrixMulShared,1700,5500,241149.270178,227510.442348,0.056558
matrixMulShared,1600,5000,242567.056266,227761.403150,0.061037
matrixMulShared,1800,5500,238592.817336,227622.242396,0.045980
matrixMulShared,1700,5000,242895.487799,227867.720952,0.061869
matrixMulShared,1900,5500,242697.937098,227796.564179,0.061399
matrixMulShared,1600,4500,239716.120350,228053.827146,0.048650
matrixMulShared,1800,5000,242126.602274,227996.620784,0.058358
matrixMulShared,2000,5500,245167.159292,227873.692392,0.070537
matrixMulShared,1700,4500,241741.956209,228197.196617,0.056030
matrixMulShared,1900,5000,244040.150994,228160.992417,0.065068
matrixMulShared,1600,4000,241968.853219,228464.514517,0.055810
matrixMulShared,1800,4500,240942.801940,228347.932235,0.052273
matrixMulShared,2000,5000,246386.777886,228159.264063,0.073979
matrixMulShared,1900,4500,243436.042860,228527.734222,0.061241
matrixMulShared,1700,4000,243925.066897,228460.416985,0.063399
matrixMulShared,2000,4500,247019.863464,228620.078915,0.074487
matrixMulShared,1800,4000,243002.504701,228665.962257,0.058998
matrixMulShared,1900,4000,244084.886329,229002.811811,0.061790
matrixMulShared,2000,4000,247572.322156,229177.437831,0.074301
mergeSort,1600,5500,36895.395530,40927.720885,0.109291
mergeSort,1700,5500,37213.092110,40945.742722,0.100305
mergeSort,1600,5000,37229.130015,40966.024196,0.100376
mergeSort,1800,5500,36899.845676,40988.745941,0.110811
mergeSort,1700,5000,36712.501887,40994.497836,0.116636
mergeSort,1900,5500,37145.068812,41011.804718,0.104098
mergeSort,1600,4500,36698.632554,41037.447202,0.118228
mergeSort,1800,5000,36894.667289,41023.657129,0.111913
mergeSort,2000,5500,37131.676802,41028.021067,0.104933
mergeSort,1700,4500,36909.561381,41062.854398,0.112526
mergeSort,1900,5000,37157.458704,41065.903362,0.105186
mergeSort,1600,4000,36722.066836,41107.602882,0.119425
mergeSort,1800,4500,36906.300664,41086.859207,0.113275
mergeSort,2000,5000,36989.989041,41083.764541,0.110673
mergeSort,1900,4500,37169.484614,41131.070290,0.106582
mergeSort,1700,4000,36723.773503,41129.989030,0.119983
mergeSort,2000,4500,36989.871469,41153.953738,0.112574
mergeSort,1800,4000,36759.166220,41185.309375,0.120409
mergeSort,1900,4000,36987.113512,41211.756687,0.114219
mergeSort,2000,4000,37172.933930,41247.705542,0.109617
quasirandomGenerator,1600,5500,2142461.016080,1659865.569868,0.225253
quasirandomGenerator,1700,5500,2149486.748547,1660531.179310,0.227475
quasirandomGenerator,1600,5000,2140281.937920,1662314.559378,0.223320
quasirandomGenerator,1800,5500,2138594.213700,1663296.902084,0.222248
quasirandomGenerator,1700,5000,2148649.822340,1665146.219519,0.225027
quasirandomGenerator,1900,5500,2168554.522260,1664645.329060,0.232371
quasirandomGenerator,1600,4500,2119008.790080,1666370.395558,0.213609
quasirandomGenerator,1800,5000,2159056.773720,1666165.998540,0.228290
quasirandomGenerator,2000,5500,2198436.861600,1665722.622894,0.242315
quasirandomGenerator,1700,4500,2144884.235130,1668454.829765,0.222124
quasirandomGenerator,1900,5000,2181545.929897,1668788.322467,0.235043
quasirandomGenerator,1600,4000,2140505.484693,1675029.139146,0.217461
quasirandomGenerator,1800,4500,2152700.860800,1670312.843489,0.224085
quasirandomGenerator,2000,5000,2200196.569433,1669502.226265,0.241203
quasirandomGenerator,1900,4500,2259187.847070,1673165.973742,0.259395
quasirandomGenerator,1700,4000,2291976.443750,1674021.166103,0.269617
quasirandomGenerator,2000,4500,2413659.763200,1674733.989171,0.306143
quasirandomGenerator,1800,4000,2527079.812530,1676503.640734,0.336585
quasirandomGenerator,1900,4000,2782056.178125,1678815.262400,0.396556
quasirandomGenerator,2000,4000,3039703.405200,1771562.136137,0.417192
scalarProd,1600,5500,8614596.594240,1595454.434745,0.814796
scalarProd,1700,5500,9162945.337350,1609188.179569,0.824381
scalarProd,1600,5000,9567235.695920,1620345.236759,0.830636
scalarProd,1800,5500,9699969.300840,1622924.781926,0.832688
scalarProd,1700,5000,10130026.626528,1635474.512158,0.838552
scalarProd,1900,5500,10202596.722150,1636539.488922,0.839596
scalarProd,1600,4500,10348499.558880,1651220.087176,0.840439
scalarProd,1800,5000,10726417.684080,1650624.379271,0.846116
scalarProd,2000,5500,10710904.389850,1649896.582123,0.845961
scalarProd,1700,4500,10970308.148170,1668230.849745,0.847932
scalarProd,1900,5000,11240513.131890,1665869.913260,0.851798
scalarProd,1600,4000,11750519.136720,1690830.967624,0.856106
scalarProd,1800,4500,11605453.114815,1685428.548207,0.854773
scalarProd,2000,5000,11822169.051000,1681195.641960,0.857793
scalarProd,1900,4500,12344317.354600,1702572.261564,0.862076
scalarProd,1700,4000,12531169.443100,1710308.685990,0.863516
scalarProd,2000,4500,13008662.871750,1719479.269692,0.867820
scalarProd,1800,4000,13243681.039050,1729907.301522,0.869379
scalarProd,1900,4000,14065072.177205,1749491.394186,0.875614
scalarProd,2000,4000,14809062.021600,1769063.479850,0.880542
scanScanExclusiveShared,1600,5500,7030.764750,4102.733320,0.416460
scanScanExclusiveShared,1700,5500,7481.195136,4122.998055,0.448885
scanScanExclusiveShared,1600,5000,7842.531472,4154.494688,0.470261
scanScanExclusiveShared,1800,5500,7945.219165,4149.662019,0.477716
scanScanExclusiveShared,1700,5000,8352.690992,4189.416026,0.498435
scanScanExclusiveShared,1900,5500,8390.908395,4183.463786,0.501429
scanScanExclusiveShared,1600,4500,8652.888491,4220.682267,0.512223
scanScanExclusiveShared,1800,5000,8846.433739,4210.636018,0.524030
scanScanExclusiveShared,2000,5500,8857.440737,4209.325595,0.524770
scanScanExclusiveShared,1700,4500,9185.695436,4254.327002,0.536853
scanScanExclusiveShared,1900,5000,9323.728878,4240.413805,0.545202
scanScanExclusiveShared,1600,4000,9894.853876,4299.308239,0.565501
scanScanExclusiveShared,1800,4500,9720.829834,4281.566078,0.559547
scanScanExclusiveShared,2000,5000,9885.640382,4275.330187,0.567521
scanScanExclusiveShared,1900,4500,10317.595155,4320.811424,0.581219
scanScanExclusiveShared,1700,4000,10532.848237,4337.141266,0.588227
scanScanExclusiveShared,2000,4500,10914.015369,4355.741960,0.600904
scanScanExclusiveShared,1800,4000,11166.197806,4375.341524,0.608162
scanScanExclusiveShared,1900,4000,11744.351527,4413.421107,0.624209
scanScanExclusiveShared,2000,4000,12397.619940,4458.969435,0.640337
sortingNetworks,1600,5500,45006.835727,44199.502811,0.017938
sortingNetworks,1700,5500,45273.139994,44221.121725,0.023237
sortingNetworks,1600,5000,45110.407668,44240.185296,0.019291
sortingNetworks,1800,5500,45046.865009,44248.859412,0.017715
sortingNetworks,1700,5000,45275.034432,44271.156126,0.022173
sortingNetworks,1900,5500,46087.054764,44274.647777,0.039326
sortingNetworks,1600,4500,45031.967127,44305.067028,0.016142
sortingNetworks,1800,5000,45489.320641,44300.578666,0.026132
sortingNetworks,2000,5500,46499.804652,44295.768186,0.047399
sortingNetworks,1700,4500,45351.061831,44333.775617,0.022431
sortingNetworks,1900,5000,45471.169544,44338.206162,0.024916
sortingNetworks,1600,4000,45159.413814,44375.461656,0.017360
sortingNetworks,1800,4500,45545.413282,44366.891912,0.025876
sortingNetworks,2000,5000,46214.337094,44362.515500,0.040070
sortingNetworks,1900,4500,45928.133240,44399.392929,0.033285
sortingNetworks,1700,4000,45087.257118,44419.267795,0.014815
sortingNetworks,2000,4500,45798.599437,44435.500572,0.029763
sortingNetworks,1800,4000,45122.730544,44455.767303,0.014781
sortingNetworks,1900,4000,45437.349808,44497.267564,0.020690
sortingNetworks,2000,4000,45446.856071,44530.315944,0.020167
transpose,1600,5500,2644.816767,2093.544404,0.208435
transpose,1700,5500,2826.195982,2119.461226,0.250066
transpose,1600,5000,2968.594802,2138.532824,0.279614
transpose,1800,5500,3013.914172,2145.826013,0.288027
transpose,1700,5000,3168.757450,2166.476214,0.316301
transpose,1900,5500,3192.598110,2170.195255,0.320242
transpose,1600,4500,3220.654709,2190.755316,0.319780
transpose,1800,5000,3377.157290,2194.968839,0.350054
transpose,2000,5500,3388.304088,2195.246432,0.352111
transpose,1700,4500,3434.115891,2220.788665,0.353316
transpose,1900,5000,3579.595974,2221.459581,0.379411
transpose,1600,4000,3703.684368,2258.059694,0.390321
transpose,1800,4500,3658.271219,2251.823060,0.384457
transpose,2000,5000,3789.955864,2248.787646,0.406645
transpose,1900,4500,3877.072015,2281.190684,0.411620
transpose,1700,4000,3952.686185,2291.789657,0.420194
transpose,2000,4500,4107.473102,2311.938851,0.437138
transpose,1800,4000,4209.650901,2325.781204,0.447512
transpose,1900,4000,4461.581410,2359.551986,0.471140
transpose,2000,4000,4643.085934,2374.123680,0.488675
vectorAdd,1600,5500,2356.519263,1478.947069,0.372402
vectorAdd,1700,5500,2519.650338,1500.927017,0.404311
vectorAdd,1600,5000,2640.731651,1517.587391,0.425316
vectorAdd,1800,5500,2667.555978,1521.973344,0.429450
vectorAdd,1700,5000,2803.684942,1542.339661,0.449888
vectorAdd,1900,5500,2825.556156,1545.256528,0.453114
vectorAdd,1600,4500,2907.886008,1565.193138,0.461742
vectorAdd,1800,5000,2975.617734,1566.848597,0.473438
vectorAdd,2000,5500,2989.952233,1567.622638,0.475703
vectorAdd,1700,4500,3089.741146,1593.352039,0.484309
vectorAdd,1900,5000,3158.342933,1591.857727,0.495983
vectorAdd,1600,4000,3335.636231,1626.184054,0.512482
vectorAdd,1800,4500,3296.426905,1621.295991,0.508166
vectorAdd,2000,5000,3314.364064,1614.290089,0.512941
vectorAdd,1900,4500,3477.589182,1648.837713,0.525868
vectorAdd,1700,4000,3551.041775,1657.974655,0.533102
vectorAdd,2000,4500,3675.703767,1676.807644,0.543813
vectorAdd,1800,4000,3781.938414,1689.946199,0.553153
vectorAdd,1900,4000,3987.142489,1722.518111,0.567982
vectorAdd,2000,4000,4219.936099,1755.884126,0.583907
