kernel,ape
BlackScholes,0.042742
backpropForward,0.192948
conjugateGradient,0.102415
convolutionSeparable,0.024553
fastWalshTransform,0.108560
histogram,0.067880
matrixMulGlobal,0.052993
matrixMulShared,0.010784
mergeSort,0.085568
quasirandomGenerator,0.276111
scalarProd,0.372742
scanScanExclusiveShared,0.343064
sortingNetworks,0.013751
transpose,0.099359
vectorAdd,0.215494
