kernel,ape
BlackScholes,0.763933
backprop,0.566200
conjugateGradient,0.396935
convolutionSeparable,0.220890
fastWalshTransform,0.180451
histogram,0.526990
matrixMulGlobal,1.224307
matrixMulShared,0.351911
mergeSort,0.220532
quasirandomGenerator,0.719827
scalarProd,0.333400
scan,0.018374
sortingNetworks,0.069214
transpose,0.049892
vectorAdd,0.067461
