kernel,ape
BlackScholes,0.002971
SobolQRNG,0.050526
backpropForward,0.102802
conjugateGradient,0.036930
convolutionSeparable,0.007051
convolutionTexture,0.053888
fastWalshTransform,0.007600
histogram,0.080468
hotspot,0.070588
matrixMulGlobal,0.014503
matrixMulShared,0.009970
mergeSort,0.032538
nn,0.086924
quasirandomGenerator,0.057342
reduction,0.097553
scalarProd,0.015485
scanScanExclusiveShared,0.004810
sortingNetworks,0.007628
transpose,0.009703
vectorAdd,0.021564
