kernel,ape
BlackScholes,0.294548
backpropForward,0.073236
conjugateGradient,0.155641
convolutionSeparable,0.112013
fastWalshTransform,0.750774
histogram,0.067773
matrixMulGlobal,0.500604
matrixMulShared,0.065557
mergeSort,0.110949
quasirandomGenerator,0.261400
scalarProd,0.850026
scanScanExclusiveShared,0.539623
sortingNetworks,0.024707
transpose,0.363776
vectorAdd,0.488376
