kernel,ape
BlackScholes,0.594688
backprop,0.141217
conjugateGradient,0.320984
convolutionSeparable,0.447833
fastWalshTransform,0.367132
histogram,0.053450
matrixMul,0.058118
matrixMul(Global),0.243365
mergeSort,0.318475
quasirandomGenerator,0.373889
scalarProd,0.898860
scan,0.723467
sortingNetworks,0.857892
transpose,0.525682
vectorAdd,0.730137
