kernel,ape
BlackScholes,0.039821
SobolQRNG,0.115842
backpropForward,0.024790
conjugateGradient,0.080770
convolutionSeparable,0.035897
convolutionTexture,0.500243
fastWalshTransform,0.054689
histogram,0.031095
hotspot,0.589309
matrixMulGlobal,0.209980
matrixMulShared,0.041663
mergeSort,0.143817
nn,0.273108
quasirandomGenerator,0.099714
reduction,0.241371
scalarProd,0.085163
scanScanExclusiveShared,0.051109
sortingNetworks,0.032212
transpose,0.078628
vectorAdd,0.094009
