kernel,ape
BlackScholes,0.118715
SobolQRNG,0.116289
backpropForward,0.195992
conjugateGradient,0.197648
convolutionSeparable,0.047713
convolutionTexture,0.346137
fastWalshTransform,0.095825
histogram,0.070286
hotspot,0.038359
matrixMulGlobal,0.056593
matrixMulShared,0.010616
mergeSort,0.036441
nn,0.189340
quasirandomGenerator,0.232489
reduction,0.093388
scalarProd,0.085227
scanScanExclusiveShared,0.087842
sortingNetworks,0.008662
transpose,0.092814
vectorAdd,0.036825
