kernel,coreF,memF,real,predict,error
histogram,1800,5500,4052251.640640,4448026.514285,0.097668
histogram,1700,5000,4197079.206780,4447707.056828,0.059715
histogram,1900,5500,4070818.469076,4449652.317565,0.093061
histogram,1600,4500,4127242.888533,4447859.342584,0.077683
histogram,1800,5000,4162737.134080,4451091.051506,0.069270
histogram,2000,5500,4074920.542933,4450979.497486,0.092286
histogram,1700,4500,4205856.026711,4449679.166269,0.057972
histogram,1900,5000,4110384.522981,4450272.815360,0.082690
histogram,1600,4000,4139464.758812,4448577.269018,0.074675
histogram,1800,4500,4221900.451104,4452742.351493,0.054677
histogram,2000,5000,4085970.559502,4453571.136851,0.089967
histogram,1900,4500,4216608.930588,4454787.118791,0.056486
histogram,1700,4000,4234534.265323,4453746.750407,0.051768
histogram,2000,4500,4145759.363200,4457635.831593,0.075228
histogram,1800,4000,4294793.932800,4455060.058631,0.037316
histogram,1900,4000,4346896.682041,4455838.444832,0.025062
histogram,2000,4000,4345806.218880,4455736.550038,0.025296
matrixMulGlobal,1600,5500,793695.663950,400496.671577,0.495403
matrixMulGlobal,1700,5500,797649.862603,402229.322473,0.495732
matrixMulGlobal,1600,5000,801022.047000,406250.299718,0.492835
matrixMulGlobal,1800,5500,812420.466638,408775.540502,0.496842
matrixMulGlobal,1700,5000,823497.257510,415015.277165,0.496033
matrixMulGlobal,1900,5500,836711.132275,413714.467133,0.505547
matrixMulGlobal,1600,4500,812825.057406,412336.990235,0.492711
matrixMulGlobal,1800,5000,848865.520986,425889.132259,0.498284
matrixMulGlobal,2000,5500,869617.993781,426357.440810,0.509719
matrixMulGlobal,1700,4500,842775.716357,422259.120077,0.498966
matrixMulGlobal,1900,5000,887699.063754,439174.705421,0.505266
matrixMulGlobal,1600,4000,870636.695906,439834.451163,0.494813
matrixMulGlobal,1800,4500,870239.089125,436108.970582,0.498863
matrixMulGlobal,2000,5000,895744.435469,439461.282387,0.509390
matrixMulGlobal,1900,4500,910230.860299,444481.264858,0.511683
matrixMulGlobal,1700,4000,888494.429320,445731.527566,0.498329
matrixMulGlobal,2000,4500,898619.085000,443230.599549,0.506765
matrixMulGlobal,1800,4000,890557.665170,446824.633694,0.498264
matrixMulGlobal,1900,4000,892529.330479,445482.368738,0.500876
matrixMulGlobal,2000,4000,904639.627336,447115.245052,0.505753
matrixMulShared,1600,5500,238479.013850,226495.255859,0.050251
matrixMulShared,1700,5500,241149.270178,226540.809065,0.060579
matrixMulShared,1600,5000,242567.056266,226743.848807,0.065232
matrixMulShared,1800,5500,238592.817336,226589.248627,0.050310
matrixMulShared,1700,5000,242895.487799,226782.526629,0.066337
matrixMulShared,1900,5500,242697.937098,226703.723554,0.065902
matrixMulShared,1600,4500,239716.120350,226900.325621,0.053462
matrixMulShared,1800,5000,242126.602274,226840.957912,0.063131
matrixMulShared,2000,5500,245167.159292,226716.564262,0.075257
matrixMulShared,1700,4500,241741.956209,226966.251997,0.061122
matrixMulShared,1900,5000,244040.150994,226938.897175,0.070076
matrixMulShared,1600,4000,241968.853219,227134.087373,0.061309
matrixMulShared,1800,4500,240942.801940,227037.004243,0.057714
matrixMulShared,2000,5000,246386.777886,226860.412557,0.079251
matrixMulShared,1900,4500,243436.042860,227144.140309,0.066925
matrixMulShared,1700,4000,243925.066897,227044.223135,0.069205
matrixMulShared,2000,4500,247019.863464,227149.983441,0.080438
matrixMulShared,1800,4000,243002.504701,227158.585785,0.065201
matrixMulShared,1900,4000,244084.886329,227408.552805,0.068322
matrixMulShared,2000,4000,247572.322156,227487.740128,0.081126
mergeSort,1600,5500,36895.395530,40924.507462,0.109204
mergeSort,1700,5500,37213.092110,40943.352231,0.100241
mergeSort,1600,5000,37229.130015,40963.484984,0.100307
mergeSort,1800,5500,36899.845676,40986.192463,0.110742
mergeSort,1700,5000,36712.501887,40991.863439,0.116564
mergeSort,1900,5500,37145.068812,41009.086871,0.104025
mergeSort,1600,4500,36698.632554,41034.163271,0.118139
mergeSort,1800,5000,36894.667289,41014.558275,0.111666
mergeSort,2000,5500,37131.676802,41016.195577,0.104615
mergeSort,1700,4500,36909.561381,41060.182081,0.112454
mergeSort,1900,5000,37157.458704,41063.259357,0.105115
mergeSort,1600,4000,36722.066836,41103.782842,0.119321
mergeSort,1800,4500,36906.300664,41084.116061,0.113201
mergeSort,2000,5000,36989.989041,41080.180939,0.110576
mergeSort,1900,4500,37169.484614,41127.030160,0.106473
mergeSort,1700,4000,36723.773503,41126.819869,0.119896
mergeSort,2000,4500,36989.871469,41150.717456,0.112486
mergeSort,1800,4000,36759.166220,41181.481884,0.120305
mergeSort,1900,4000,36987.113512,41208.045606,0.114119
mergeSort,2000,4000,37172.933930,41244.655857,0.109535
quasirandomGenerator,1600,5500,2142461.016080,1655243.221488,0.227410
quasirandomGenerator,1700,5500,2149486.748547,1655476.498212,0.229827
quasirandomGenerator,1600,5000,2140281.937920,1656865.738125,0.225866
quasirandomGenerator,1800,5500,2138594.213700,1657792.125582,0.224822
quasirandomGenerator,1700,5000,2148649.822340,1659189.089169,0.227799
quasirandomGenerator,1900,5500,2168554.522260,1658696.355938,0.235114
quasirandomGenerator,1600,4500,2119008.790080,1659843.042083,0.216689
quasirandomGenerator,1800,5000,2159056.773720,1659739.879418,0.231266
quasirandomGenerator,2000,5500,2198436.861600,1659389.287339,0.245196
quasirandomGenerator,1700,4500,2144884.235130,1661425.699434,0.225401
quasirandomGenerator,1900,5000,2181545.929897,1661880.874274,0.238210
quasirandomGenerator,1600,4000,2140505.484693,1667132.700653,0.221150
quasirandomGenerator,1800,4500,2152700.860800,1662731.028228,0.227607
quasirandomGenerator,2000,5000,2200196.569433,1662008.944883,0.244609
quasirandomGenerator,1900,4500,2259187.847070,1665010.216382,0.263005
quasirandomGenerator,1700,4000,2291976.443750,1665521.236214,0.273325
quasirandomGenerator,2000,4500,2413659.763200,1666017.912960,0.309754
quasirandomGenerator,1800,4000,2527079.812530,1667279.355019,0.340235
quasirandomGenerator,1900,4000,2782056.178125,1669036.817862,0.400071
quasirandomGenerator,2000,4000,3039703.405200,1761063.290822,0.420646
scalarProd,1600,5500,8614596.594240,1595454.434745,0.814796
scalarProd,1700,5500,9162945.337350,1609188.179569,0.824381
scalarProd,1600,5000,9567235.695920,1620345.236759,0.830636
scalarProd,1800,5500,9699969.300840,1622924.781926,0.832688
scalarProd,1700,5000,10130026.626528,1635474.512158,0.838552
scalarProd,1900,5500,10202596.722150,1636539.488922,0.839596
scalarProd,1600,4500,10348499.558880,1651220.087176,0.840439
scalarProd,1800,5000,10726417.684080,1650624.379271,0.846116
scalarProd,2000,5500,10710904.389850,1649896.582123,0.845961
scalarProd,1700,4500,10970308.148170,1668230.849745,0.847932
scalarProd,1900,5000,11240513.131890,1665869.913260,0.851798
scalarProd,1600,4000,11750519.136720,1690830.967624,0.856106
scalarProd,1800,4500,11605453.114815,1685428.548207,0.854773
scalarProd,2000,5000,11822169.051000,1681195.641960,0.857793
scalarProd,1900,4500,12344317.354600,1702572.261564,0.862076
scalarProd,1700,4000,12531169.443100,1710308.685990,0.863516
scalarProd,2000,4500,13008662.871750,1719479.269692,0.867820
scalarProd,1800,4000,13243681.039050,1729907.301522,0.869379
scalarProd,1900,4000,14065072.177205,1749491.394186,0.875614
scalarProd,2000,4000,14809062.021600,1769063.479850,0.880542
scanScanExclusiveShared,1600,5500,7030.764750,4102.484249,0.416495
scanScanExclusiveShared,1700,5500,7481.195136,4122.863445,0.448903
scanScanExclusiveShared,1600,5000,7842.531472,4154.350041,0.470279
scanScanExclusiveShared,1800,5500,7945.219165,4149.409125,0.477748
scanScanExclusiveShared,1700,5000,8352.690992,4189.160870,0.498466
scanScanExclusiveShared,1900,5500,8390.908395,4183.212679,0.501459
scanScanExclusiveShared,1600,4500,8652.888491,4220.473026,0.512247
scanScanExclusiveShared,1800,5000,8846.433739,4210.636018,0.524030
scanScanExclusiveShared,2000,5500,8857.440737,4208.569150,0.524855
scanScanExclusiveShared,1700,4500,9185.695436,4254.061376,0.536882
scanScanExclusiveShared,1900,5000,9323.728878,4240.081107,0.545238
scanScanExclusiveShared,1600,4000,9894.853876,4299.114644,0.565520
scanScanExclusiveShared,1800,4500,9720.829834,4281.283659,0.559576
scanScanExclusiveShared,2000,5000,9885.640382,4275.137672,0.567541
scanScanExclusiveShared,1900,4500,10317.595155,4320.420261,0.581257
scanScanExclusiveShared,1700,4000,10532.848237,4336.874696,0.588252
scanScanExclusiveShared,2000,4500,10914.015369,4355.414996,0.600934
scanScanExclusiveShared,1800,4000,11166.197806,4375.144910,0.608180
scanScanExclusiveShared,1900,4000,11744.351527,4413.129938,0.624234
scanScanExclusiveShared,2000,4000,12397.619940,4458.739974,0.640355
sortingNetworks,1600,5500,45006.835727,44198.452532,0.017961
sortingNetworks,1700,5500,45273.139994,44220.073607,0.023260
sortingNetworks,1600,5000,45110.407668,44238.875929,0.019320
sortingNetworks,1800,5500,45046.865009,44247.829388,0.017738
sortingNetworks,1700,5000,45275.034432,44270.395648,0.022190
sortingNetworks,1900,5500,46087.054764,44273.328699,0.039354
sortingNetworks,1600,4500,45031.967127,44304.504978,0.016154
sortingNetworks,1800,5000,45489.320641,44299.360485,0.026159
sortingNetworks,2000,5500,46499.804652,44287.262253,0.047582
sortingNetworks,1700,4500,45351.061831,44333.075333,0.022447
sortingNetworks,1900,5000,45471.169544,44337.412583,0.024934
sortingNetworks,1600,4000,45159.413814,44374.097418,0.017390
sortingNetworks,1800,4500,45545.413282,44366.156840,0.025892
sortingNetworks,2000,5000,46214.337094,44361.065771,0.040102
sortingNetworks,1900,4500,45928.133240,44398.634532,0.033302
sortingNetworks,1700,4000,45087.257118,44418.285404,0.014837
sortingNetworks,2000,4500,45798.599437,44434.277043,0.029790
sortingNetworks,1800,4000,45122.730544,44454.384391,0.014812
sortingNetworks,1900,4000,45437.349808,44495.927954,0.020719
sortingNetworks,2000,4000,45446.856071,44529.351893,0.020189
transpose,1600,5500,2644.816767,2093.492407,0.208455
transpose,1700,5500,2826.195982,2119.394479,0.250089
transpose,1600,5000,2968.594802,2138.532824,0.279614
transpose,1800,5500,3013.914172,2145.815188,0.288030
transpose,1700,5000,3168.757450,2166.457157,0.316307
transpose,1900,5500,3192.598110,2170.195255,0.320242
transpose,1600,4500,3220.654709,2190.631352,0.319818
transpose,1800,5000,3377.157290,2194.908773,0.350072
transpose,2000,5500,3388.304088,2194.598238,0.352302
transpose,1700,4500,3434.115891,2220.777206,0.353319
transpose,1900,5000,3579.595974,2221.393902,0.379429
transpose,1600,4000,3703.684368,2258.002902,0.390336
transpose,1800,4500,3658.271219,2251.747748,0.384478
transpose,2000,5000,3789.955864,2248.709169,0.406666
transpose,1900,4500,3877.072015,2281.075472,0.411650
transpose,1700,4000,3952.686185,2291.716341,0.420213
transpose,2000,4500,4107.473102,2311.870723,0.437155
transpose,1800,4000,4209.650901,2325.690982,0.447534
transpose,1900,4000,4461.581410,2359.551986,0.471140
transpose,2000,4000,4643.085934,2374.123680,0.488675
vectorAdd,1600,5500,2356.519263,1478.875956,0.372432
vectorAdd,1700,5500,2519.650338,1500.855806,0.404340
vectorAdd,1600,5000,2640.731651,1517.557403,0.425327
vectorAdd,1800,5500,2667.555978,1521.884003,0.429484
vectorAdd,1700,5000,2803.684942,1542.291396,0.449906
vectorAdd,1900,5500,2825.556156,1545.196609,0.453135
vectorAdd,1600,4500,2907.886008,1565.121016,0.461767
vectorAdd,1800,5000,2975.617734,1566.755016,0.473469
vectorAdd,2000,5500,2989.952233,1567.622638,0.475703
vectorAdd,1700,4500,3089.741146,1593.251350,0.484341
vectorAdd,1900,5000,3158.342933,1591.751460,0.496017
vectorAdd,1600,4000,3335.636231,1626.113151,0.512503
vectorAdd,1800,4500,3296.426905,1621.221190,0.508188
vectorAdd,2000,5000,3314.364064,1614.251293,0.512953
vectorAdd,1900,4500,3477.589182,1648.787350,0.525882
vectorAdd,1700,4000,3551.041775,1657.855945,0.533135
vectorAdd,2000,4500,3675.703767,1676.708715,0.543840
vectorAdd,1800,4000,3781.938414,1689.900310,0.553166
vectorAdd,1900,4000,3987.142489,1722.417782,0.568007
vectorAdd,2000,4000,4219.936099,1755.782828,0.583931
