kernel,ape
BlackScholes,0.039821
backpropForward,0.024790
conjugateGradient,0.080770
convolutionSeparable,0.035897
fastWalshTransform,0.054689
histogram,0.031095
matrixMulGlobal,0.209980
matrixMulShared,0.041663
mergeSort,0.143817
quasirandomGenerator,0.099714
scalarProd,0.085163
scanScanExclusiveShared,0.051109
sortingNetworks,0.032212
transpose,0.078628
vectorAdd,0.094009
