DRAMA,FP16A,FP32A,FP64A,SMACT,SMOCC,TENSO,argNo,average_power,benchmark,core_frequency,kernel,memory_frequency,time
0.04544736842105263,0.0,0.09181578947368424,0.0,0.7392368421052631,0.494736842105263,0.0,input000,95.36760000000001,cachebench-l2-only,1110,benchmark_int,6500,2.512477
0.004538461538461541,0.0,0.09369230769230767,0.0,0.7895128205128207,0.5046666666666666,0.0,input001,91.1688,cachebench-l2-only,1110,benchmark_int,6500,2.472553
0.024820512820512838,0.0,0.093,0.0,0.7990769230769228,0.5033589743589744,0.0,input002,97.8823,cachebench-l2-only,1110,benchmark_int,6500,2.482972
0.13579487179487182,0.0,0.09328205128205128,0.0,0.8126923076923078,0.5048974358974359,0.0,input003,100.5895,cachebench-l2-only,1110,benchmark_int,6500,2.476731
0.36847500000000016,0.0,0.059125,0.0,0.8307,0.5950000000000002,0.0,input004,107.72259999999999,cachebench-l2-only,1110,benchmark_int,6500,3.90271
0.4984358974358975,0.0,0.04110256410256409,0.0,0.981102564102564,0.6398717948717951,0.0,input005,109.81319999999998,cachebench-l2-only,1110,benchmark_int,6500,5.607698
0.0070000000000000045,0.0,0.0692307692307692,0.0,0.6921794871794872,0.4956410256410257,0.0,input006,93.0376,cachebench-l2-only,1110,benchmark_two_int,6500,3.392049
0.0014615384615384625,0.0,0.07007692307692305,0.0,0.7374615384615382,0.49966666666666687,0.0,input007,93.02669999999999,cachebench-l2-only,1110,benchmark_two_int,6500,3.357055
0.14941025641025638,0.0,0.06943589743589741,0.0,0.7484615384615385,0.49617948717948723,0.0,input008,103.32829999999998,cachebench-l2-only,1110,benchmark_two_int,6500,3.387282
0.4886578947368422,0.0,0.05094736842105261,0.0,0.8094999999999999,0.5758947368421051,0.0,input009,110.44279999999999,cachebench-l2-only,1110,benchmark_two_int,6500,4.610219
0.6699743589743591,0.0,0.027692307692307707,0.0,0.8956153846153847,0.6459230769230769,0.0,input010,108.5174,cachebench-l2-only,1110,benchmark_two_int,6500,8.488707
