DRAMA,FP16A,FP32A,FP64A,SMACT,SMOCC,TENSO,argNo,average_power,benchmark,core_frequency,kernel,memory_frequency,time
0.8456410256410254,0.0,0.44997435897435867,0.0,0.9870769230769227,0.8889999999999998,0.0,input000,163.05249999999998,BlackScholes,1110,BlackScholesGPU,6500,1.003757
0.8470512820512826,0.0,0.4121538461538465,0.0,0.9868461538461535,0.8963589743589742,0.0,input000,171.3866,BlackScholes,1215,BlackScholesGPU,6500,1.001533
0.8469500000000005,0.0,0.38400000000000023,0.0,0.9880749999999997,0.9047750000000004,0.0,input000,178.9376,BlackScholes,1305,BlackScholesGPU,6500,1.002766
0.8449999999999996,0.0,0.35520512820512845,0.0,0.9881025641025639,0.9109487179487186,0.0,input000,192.1222,BlackScholes,1410,BlackScholesGPU,6500,1.004785
0.8429743589743591,0.0,0.33335897435897444,0.0,0.9888205128205126,0.9158205128205126,0.0,input000,205.9695,BlackScholes,1500,BlackScholesGPU,6500,1.007627
0.8404473684210527,0.0,0.3109473684210526,0.0,0.9889210526315791,0.9201578947368425,0.0,input000,224.425,BlackScholes,1605,BlackScholesGPU,6500,1.010585
0.8379250000000003,0.0,0.2911250000000002,0.0,0.9889749999999999,0.9236000000000001,0.0,input000,251.26010000000002,BlackScholes,1710,BlackScholesGPU,6500,1.014065
0.6943333333333331,0.0,0.5889487179487177,0.0,0.9885128205128209,0.874128205128205,0.0,input000,133.83149999999998,BlackScholes,705,BlackScholesGPU,6500,1.222842
0.7549999999999998,0.0,0.5189999999999997,0.0,0.9867692307692304,0.8764615384615385,0.0,input000,141.7294,BlackScholes,870,BlackScholesGPU,6500,1.123999
0.7909487179487182,0.0,0.49299999999999994,0.0,0.9876666666666665,0.8819487179487183,0.0,input000,148.965,BlackScholes,945,BlackScholesGPU,6500,1.07282
0.555078947368421,0.0,0.054000000000000034,0.0,0.9678684210526315,0.8017368421052629,0.0,input000,128.8238,SobolQRNG,1110,sobolGPU_kernel,6500,1.400746
0.5842105263157894,0.0,0.05200000000000003,0.0,0.9680000000000002,0.8016578947368419,0.0,input000,135.83990000000003,SobolQRNG,1215,sobolGPU_kernel,6500,1.331161
0.6135526315789473,0.0,0.05099999999999998,0.0,0.9674999999999997,0.8008947368421051,0.0,input000,144.83689999999999,SobolQRNG,1305,sobolGPU_kernel,6500,1.266825
0.6353846153846155,0.0,0.04899999999999998,0.0,0.9672820512820512,0.8002564102564101,0.0,input000,153.6338,SobolQRNG,1410,sobolGPU_kernel,6500,1.222857
0.6565526315789473,0.0,0.04797368421052634,0.0,0.9672368421052626,0.7998947368421053,0.0,input000,165.3532,SobolQRNG,1500,sobolGPU_kernel,6500,1.18365
0.677128205128205,0.0,0.04600000000000003,0.0,0.9674358974358975,0.7995897435897437,0.0,input000,184.5008,SobolQRNG,1605,sobolGPU_kernel,6500,1.147998
0.7000256410256409,0.0,0.04499999999999998,0.0,0.9675641025641024,0.7992564102564101,0.0,input000,202.8808,SobolQRNG,1710,sobolGPU_kernel,6500,1.110295
0.4804473684210528,0.0,0.07494736842105267,0.0,0.9661578947368421,0.8022105263157894,0.0,input000,111.43499999999999,SobolQRNG,705,sobolGPU_kernel,6500,1.619037
0.4799473684210528,0.0,0.06015789473684213,0.0,0.9668684210526316,0.801736842105263,0.0,input000,112.95339999999999,SobolQRNG,870,sobolGPU_kernel,6500,1.619645
0.49823076923076914,0.0,0.05699999999999999,0.0,0.9677179487179487,0.8021025641025636,0.0,input000,117.242,SobolQRNG,945,sobolGPU_kernel,6500,1.560874
0.006405405405405409,0.0,0.0005405405405405409,0.7611351351351352,0.9508918918918917,0.9006756756756757,0.0,input000,84.92080000000001,binomialOptions,1110,binomialOptionsKernel,6500,43.059349
0.007076923076923082,0.0,0.000820512820512821,0.783102564102564,0.9518461538461537,0.9016410256410259,0.0,input000,88.84270000000001,binomialOptions,1215,binomialOptionsKernel,6500,39.385279
0.007410256410256415,0.0,0.0007948717948717954,0.7239487179487183,0.9502051282051281,0.8955641025641027,0.0,input000,95.83529999999999,binomialOptions,1305,binomialOptionsKernel,6500,36.695845
0.008026315789473689,0.0,0.0007368421052631584,0.7645526315789475,0.946315789473684,0.8934210526315794,0.0,input000,103.55790000000002,binomialOptions,1410,binomialOptionsKernel,6500,33.994871
0.00861538461538462,0.0,0.0009230769230769237,0.7655897435897435,0.9506923076923081,0.8986666666666665,0.0,input000,113.20689999999999,binomialOptions,1500,binomialOptionsKernel,6500,32.072369
0.009000000000000005,0.0,0.0009487179487179494,0.7836666666666668,0.9511538461538465,0.9005384615384617,0.0,input000,128.1084,binomialOptions,1605,binomialOptionsKernel,6500,29.902901
0.009894736842105267,0.0,0.0008947368421052638,0.7846842105263164,0.949947368421053,0.897157894736842,0.0,input000,147.4282,binomialOptions,1710,binomialOptionsKernel,6500,28.087594
0.0039487179487179514,0.0,0.0007179487179487184,0.7841794871794873,0.9531794871794872,0.9050256410256409,0.0,input000,65.3513,binomialOptions,705,binomialOptionsKernel,6500,68.694792
0.004923076923076925,0.0,0.0005641025641025644,0.7841538461538463,0.9435384615384614,0.8956410256410253,0.0,input000,74.701,binomialOptions,870,binomialOptionsKernel,6500,55.667859
0.005538461538461542,0.0,0.0005128205128205131,0.7715128205128207,0.9497179487179489,0.8981538461538457,0.0,input000,75.8308,binomialOptions,945,binomialOptionsKernel,6500,50.460558
,,,,,,,input000,44.1708,cfd,1110,cuda_compute_flux,6500,
,,,,,,,input000,45.028,cfd,1215,cuda_compute_flux,6500,
