DRAMA,FP16A,FP32A,FP64A,SMACT,SMOCC,TENSO,argNo,average_power,benchmark,core_frequency,kernel,memory_frequency,time
0.6917767857142852,0.0,0.43467857142857147,0.0,0.9769017857142845,0.8309017857142857,0.0,input000,157.9836,BlackScholes,1087,BlackScholesGPU,877,0.91044
0.6916964285714284,0.0,0.4187857142857142,0.0,0.976785714285714,0.8310714285714281,0.0,input000,159.46790000000001,BlackScholes,1102,BlackScholesGPU,877,0.908495
0.714177570093458,0.0,0.38156074766355125,0.0,0.9795420560747666,0.8368971962616829,0.0,input000,180.56220000000002,BlackScholes,1237,BlackScholesGPU,877,0.886187
0.7280545454545448,0.0,0.3541363636363638,0.0,0.9771909090909083,0.8404909090909082,0.0,input000,207.70480000000003,BlackScholes,1380,BlackScholesGPU,877,0.871475
0.19110526315789492,0.0,0.5853684210526319,0.0,0.9902192982456136,0.8530438596491223,0.0,input000,59.97279999999999,BlackScholes,405,BlackScholesGPU,877,3.326302
0.26541666666666647,0.0,0.3552407407407408,0.0,0.9877870370370376,0.8584166666666662,0.0,input000,74.8546,BlackScholes,502,BlackScholesGPU,877,2.400994
0.2899285714285714,0.0,0.3253482142857143,0.0,0.9855982142857141,0.8594732142857141,0.0,input000,80.3433,BlackScholes,600,BlackScholesGPU,877,2.181454
0.4366869565217386,0.0,0.4181652173913046,0.0,0.9839652173913035,0.8425739130434788,0.0,input000,104.119,BlackScholes,705,BlackScholesGPU,877,1.456259
0.5549629629629628,0.0,0.4638518518518516,0.0,0.9823796296296297,0.8339259259259267,0.0,input000,123.48409999999998,BlackScholes,802,BlackScholesGPU,877,1.144715
0.6628990825688068,0.0,0.46914678899082596,0.0,0.9768532110091737,0.8301009174311937,0.0,input000,142.863,BlackScholes,945,BlackScholesGPU,877,0.955452
0.8633714285714288,0.0,0.16492380952380983,0.0,0.8996952380952388,0.34319999999999995,0.0,input000,143.58650000000003,SobolQRNG,1087,sobolGPU_kernel,877,0.668261
0.862227272727272,0.0,0.16346363636363623,0.0,0.9041090909090913,0.34502727272727235,0.0,input000,145.9751,SobolQRNG,1102,sobolGPU_kernel,877,0.666802
0.8749818181818183,0.0,0.1453363636363637,0.0,0.9043272727272729,0.3462454545454542,0.0,input000,163.64440000000002,SobolQRNG,1237,sobolGPU_kernel,877,0.65526
0.8887981651376156,0.0,0.13169724770642194,0.0,0.9086330275229358,0.34834862385321075,0.0,input000,187.44149999999996,SobolQRNG,1380,sobolGPU_kernel,877,0.645318
0.2500833333333333,0.0,0.2332314814814815,0.0,0.8983981481481491,0.34133333333333366,0.0,input000,58.5851,SobolQRNG,405,sobolGPU_kernel,877,2.310576
0.3668124999999999,0.0,0.15506249999999994,0.0,0.9109285714285716,0.34877678571428544,0.0,input000,75.73620000000001,SobolQRNG,502,sobolGPU_kernel,877,1.583368
0.38725892857142885,0.0,0.1338035714285714,0.0,0.9129464285714294,0.35005357142857146,0.0,input000,78.7159,SobolQRNG,600,sobolGPU_kernel,877,1.499622
0.5571603773584904,0.0,0.1622452830188678,0.0,0.9039528301886798,0.34500943396226424,0.0,input000,99.13569999999999,SobolQRNG,705,sobolGPU_kernel,877,1.037319
0.7078648648648648,0.0,0.18300900900900918,0.0,0.9004954954954955,0.3421171171171174,0.0,input000,116.98359999999998,SobolQRNG,802,sobolGPU_kernel,877,0.810718
0.8353272727272726,0.0,0.18004545454545473,0.0,0.8983272727272736,0.3413363636363637,0.0,input000,130.63439999999997,SobolQRNG,945,sobolGPU_kernel,877,0.692289
0.06455357142857143,0.0,0.010973214285714293,0.2449464285714285,0.9092589285714284,0.7784732142857141,0.0,input000,122.39290000000001,binomialOptions,1087,binomialOptionsKernel,877,7.466279
0.06491818181818183,0.0,0.011063636363636371,0.24935454545454558,0.9029818181818193,0.7733090909090908,0.0,input000,124.0065,binomialOptions,1102,binomialOptionsKernel,877,7.368405
0.07415315315315314,0.0,0.011027027027027035,0.24333333333333362,0.9048018018018021,0.7758828828828832,0.0,input000,153.1112,binomialOptions,1237,binomialOptionsKernel,877,6.564216
0.08077192982456144,0.0,0.011087719298245613,0.24042105263157923,0.8969298245614034,0.768561403508772,0.0,input000,200.56269999999998,binomialOptions,1380,binomialOptionsKernel,877,5.934818
0.010333333333333335,0.0,0.010108108108108109,0.21639639639639643,0.8092162162162165,0.7390810810810812,0.0,input000,41.747499999999995,binomialOptions,405,binomialOptionsKernel,877,41.51914
0.02771296296296295,0.0,0.010324074074074072,0.2320092592592592,0.8589351851851853,0.7324537037037032,0.0,input000,63.76210000000001,binomialOptions,502,binomialOptionsKernel,877,17.191112
0.033801724137931005,0.0,0.010387931034482755,0.23524137931034497,0.867344827586207,0.7449741379310346,0.0,input000,72.8329,binomialOptions,600,binomialOptionsKernel,877,14.159067
0.04025438596491226,0.0,0.010552631578947369,0.24357894736842112,0.8763333333333327,0.750333333333333,0.0,input000,83.23740000000001,binomialOptions,705,binomialOptionsKernel,877,11.871732
0.04689908256880733,0.0,0.010944954128440368,0.24680733944954145,0.9005504587155966,0.7697431192660549,0.0,input000,89.41870000000002,binomialOptions,802,binomialOptionsKernel,877,10.179411
0.05638181818181821,0.0,0.011054545454545458,0.24331818181818154,0.9110090909090909,0.7786545454545456,0.0,input000,102.2282,binomialOptions,945,binomialOptionsKernel,877,8.589492
0.30382882882882906,0.0,0.2188468468468471,0.0,0.7442252252252245,0.3189099099099099,0.0,input000,119.59630000000001,cfd,1087,cuda_compute_flux,877,0.081129
